Fiscal Year,DISTRICT,STATE,Company Name,ASSETS(MILLIONS),Assets Status,LIABILITIES(MILLIONS),Liabilities Status
2009,HU,TX,Baseline Oil & Gas,80.10,Reported,138.90,Reported
2010,SD,TX,Baseline Oil & Gas Corp.,80.00,Reported,139.00,Reported
2010,,,ABC-NACO Inc.,75.00,Reported,170.00,Reported
2009,ND,GA,Atherogenics Inc.,72.00,Reported,40.00,Reported
2010,D,MN,Otter Tail AG Enterprises LLC,67.00,Reported,86.00,Reported
2011,SD,FL,HearUSA Inc.,66.00,Reported,65.00,Reported
2010,ND,OH,Stamford Industrial Group,62.20,Reported,14.31,Reported
2009,SD,TX,Ausam Energy Corp. et al.,56.30,Reported,24.30,Reported
2010,SD,TX,Cross Canyon Energy Corp.,53.35,Reported,41.81,Reported
2009,D,DE,Basin Water Inc.,50.60,Reported,14.20,Reported
2010,WD,TX,South Texas Oil Company,49.07,Reported,27.90,Reported
2009,ND,TX,Sonoran Energy Inc.,47.10,Reported,26.40,Reported
2009,ND,CA,CMR Mortgage Fund II LLC,45.30,Reported,22.00,Reported
2009,MD,AL,The Colonial BancGroup Inc.,45.00,Reported,380.00,Reported
2011,D,DE,Raser Technologies Inc.,41.84,Reported,107.78,Reported
2010,SD,NY,Jesup & Lamont Inc. JWA,41.15,Reported,24.56,Reported
2009,CD,CA,Modtech Holdings Inc.,40.90,Reported,34.90,Reported
2010,D,DE,PNG Ventures Inc.,40.00,Reported,45.00,Reported
2010,D,PR,R & G Financial Corporation,40.00,Reported,421.00,Reported
2009,D,DE,PNG Ventures Inc.,39.90,Reported,44.60,Reported
2009,SD,FL,BankUnited Financial Corporation,37.70,Reported,559.70,Reported
2011,MD,DFL,Geopharma Inc.,37.00,Reported,34.00,Reported
2011,ED,MA,Molecular Insight Pharmaceuticals Inc.,36.45,Reported,198.83,Reported
2009,SD,TX,Capco Energy Inc. et al.,35.50,Reported,17.10,Reported
2009,D,MN,Petters Group Worldwide LLC/Petters Company Inc.,35.40,Reported,2025.60,Reported
2009,ED,TX,EnergyTec Inc. et al.,33.70,Reported,12.50,Reported
2009,D,DE,Triple Crown Media Inc.,33.10,Reported,85.90,Reported
2010,D,CO,Rancher Energy Corp.,32.30,Reported,11.58,Reported
2011,D,DE,Trico Marine Services Inc.,31.00,Reported,354.00,Reported
2009,WD,VA,Luna Innovations Incorporation,29.80,Reported,55.60,Reported
2009,SD,NY,Lyondell Chemical Co.,27.10,Reported,19.30,Reported
2010,SD,FL,Protective Products of America Inc.,27.00,Reported,29.00,Reported
2009,ND,OH,BPI Energy Holdings Inc.,27.00,Reported,15.00,Reported
2010,D,DE,Capital Growth Systems Inc.,26.97,Reported,17.15,Reported
2010,SD,NY,Jennifer Covertibles Inc.,25.97,Reported,46.35,Reported
2009,MD,FL,A21 Inc.,25.20,Reported,30.30,Reported
2009,SD,FL,QSGI Inc.,24.00,Reported,22.70,Reported
2009,D,MD,TVI Corporation,23.30,Reported,37.30,Reported
2011,ND,TX,ReoStar Energy Corp. et al.,21.03,Reported,15.54,Reported
2011,D,TX,Best Energy Services Inc. et al.,20.72,Reported,30.58,Reported
2010,CA,CA,Imperial Capitol Bancorp Inc.,20.00,Reported,190.86,Reported
2011,D,NV,Desert Capital REIT Inc.,19.84,Reported,40.22,Reported
2009,D,DE,Electroglas Inc.,19.60,Reported,31.50,Reported
2011,D,NV,American Pacific Financial Corporation,19.18,Reported,161.08,Reported
2010,CD,CA,U.S. Dry Cleaning Services Corporation,19.07,Reported,,Missing
2010,ND,IL,Canopy Financial Inc.,18.99,Reported,25.84,Reported
2010,D,NV,Firstfold Corp.,17.96,Reported,26.98,Reported
2009,D,DE,Applied Solar Inc.,17.60,Reported,29.10,Reported
2009,SD,FL,Peagus Wireless Corporation,17.40,Reported,3.90,Reported
